office,district,candidate,party,precinct,votes,absentee_votes
U.S. Senate,,John F. Reed*,D,Pawtucket 2624,145,64
U.S. Senate,,John F. Reed*,D,Pawtucket 2625,70,26
U.S. Senate,,John F. Reed*,D,Pawtucket 2626,29,14
U.S. Senate,,John F. Reed*,D,Pawtucket 2627,206,94
U.S. Senate,,John F. Reed*,D,Pawtucket 2628,305,171
U.S. Senate,,John F. Reed*,D,Pawtucket 2629,361,204
U.S. Senate,,John F. Reed*,D,Pawtucket 2630,32,9
U.S. Senate,,John F. Reed*,D,Pawtucket 2631,121,46
U.S. Senate,,John F. Reed*,D,Portsmouth 2704,483,274
U.S. Senate,,John F. Reed*,D,Portsmouth 2708,875,538
U.S. Senate,,John F. Reed*,D,Providence 2801,36,7
U.S. Senate,,John F. Reed*,D,Providence 2807,0,0
U.S. Senate,,John F. Reed*,D,Providence 2810,28,18
U.S. Senate,,John F. Reed*,D,Providence 2811,579,180
U.S. Senate,,John F. Reed*,D,Providence 2818,638,246
U.S. Senate,,John F. Reed*,D,Providence 2819,277,124
U.S. Senate,,John F. Reed*,D,Providence 2820,225,71
U.S. Senate,,John F. Reed*,D,Providence 2822,37,14
U.S. Senate,,John F. Reed*,D,Providence 2826,550,217
U.S. Senate,,John F. Reed*,D,Providence 2830,282,97
U.S. Senate,,John F. Reed*,D,Providence 2831,746,322
U.S. Senate,,John F. Reed*,D,Providence 2834,47,23
U.S. Senate,,John F. Reed*,D,Providence 2835,67,51
U.S. Senate,,John F. Reed*,D,Providence 2836,3,2
U.S. Senate,,John F. Reed*,D,Providence 2837,150,66
U.S. Senate,,John F. Reed*,D,Providence 2838,81,28
U.S. Senate,,John F. Reed*,D,Providence 2839,209,59
U.S. Senate,,John F. Reed*,D,Providence 2841,59,16
U.S. Senate,,John F. Reed*,D,Providence 2842,38,11
U.S. Senate,,John F. Reed*,D,Providence 2844,309,101
U.S. Senate,,John F. Reed*,D,Providence 2846,388,123
U.S. Senate,,John F. Reed*,D,Providence 2847,73,7
U.S. Senate,,John F. Reed*,D,Providence 2850,309,102
U.S. Senate,,John F. Reed*,D,Providence 2853,455,191
U.S. Senate,,John F. Reed*,D,Providence 2854,1059,323
U.S. Senate,,John F. Reed*,D,Providence 2859,132,36
U.S. Senate,,John F. Reed*,D,Providence 2863,930,371
U.S. Senate,,John F. Reed*,D,Providence 2864,57,17
U.S. Senate,,John F. Reed*,D,Providence 2867,402,168
U.S. Senate,,John F. Reed*,D,Providence 2868,198,59
U.S. Senate,,John F. Reed*,D,Providence 2869,95,17
U.S. Senate,,John F. Reed*,D,Providence 2871,130,24
U.S. Senate,,John F. Reed*,D,Providence 2875,589,315
U.S. Senate,,John F. Reed*,D,Providence 2877,50,10
U.S. Senate,,John F. Reed*,D,Providence Limited 2,2,0
U.S. Senate,,John F. Reed*,D,Richmond 2902,369,192
U.S. Senate,,John F. Reed*,D,Richmond Limited,0,0
U.S. Senate,,John F. Reed*,D,Scituate 3001,137,70
U.S. Senate,,John F. Reed*,D,Scituate 3002,103,50
U.S. Senate,,John F. Reed*,D,Scituate 3003,141,73
U.S. Senate,,John F. Reed*,D,Scituate Limited,0,0
U.S. Senate,,John F. Reed*,D,Smithfield 3101,262,119
U.S. Senate,,John F. Reed*,D,Smithfield 3103,448,210
U.S. Senate,,John F. Reed*,D,Smithfield 3104,218,110
U.S. Senate,,John F. Reed*,D,Smithfield 3105,450,238
U.S. Senate,,John F. Reed*,D,South Kingstown 3201,138,62
U.S. Senate,,John F. Reed*,D,South Kingstown 3202,885,553
U.S. Senate,,John F. Reed*,D,South Kingstown 3204,1062,560
U.S. Senate,,John F. Reed*,D,South Kingstown 3207,1462,892
U.S. Senate,,John F. Reed*,D,South Kingstown 3209,208,113
U.S. Senate,,John F. Reed*,D,South Kingstown 3210,279,139
U.S. Senate,,John F. Reed*,D,South Kingstown Limited,0,0
U.S. Senate,,John F. Reed*,D,Tiverton 3306,390,205
U.S. Senate,,John F. Reed*,D,Warwick 3501,576,320
U.S. Senate,,John F. Reed*,D,Warwick 3502,471,220
U.S. Senate,,John F. Reed*,D,Warwick 3503,180,95
U.S. Senate,,John F. Reed*,D,Warwick 3504,419,215
U.S. Senate,,John F. Reed*,D,Warwick 3505,117,53
U.S. Senate,,John F. Reed*,D,Warwick 3506,102,59
U.S. Senate,,John F. Reed*,D,Warwick 3507,56,25
U.S. Senate,,John F. Reed*,D,Warwick 3508,275,106
U.S. Senate,,John F. Reed*,D,Warwick 3509,76,49
U.S. Senate,,John F. Reed*,D,Warwick 3510,221,105
U.S. Senate,,John F. Reed*,D,Warwick 3511,287,160
U.S. Senate,,John F. Reed*,D,Warwick 3512,191,90
U.S. Senate,,John F. Reed*,D,Warwick 3513,308,181
U.S. Senate,,John F. Reed*,D,Warwick 3514,391,199
U.S. Senate,,John F. Reed*,D,Warwick 3515,418,189
U.S. Senate,,John F. Reed*,D,Warwick 3516,89,41
U.S. Senate,,John F. Reed*,D,Warwick 3517,102,51
U.S. Senate,,John F. Reed*,D,Warwick 3518,338,186
U.S. Senate,,John F. Reed*,D,Warwick 3519,363,178
U.S. Senate,,John F. Reed*,D,Warwick 3520,245,130
U.S. Senate,,John F. Reed*,D,Warwick 3521,205,112
U.S. Senate,,John F. Reed*,D,Warwick 3522,178,89
U.S. Senate,,John F. Reed*,D,Warwick 3523,375,210
U.S. Senate,,John F. Reed*,D,Warwick 3524,180,90
U.S. Senate,,John F. Reed*,D,Warwick 3525,266,158
U.S. Senate,,John F. Reed*,D,Warwick 3526,88,58
U.S. Senate,,John F. Reed*,D,Warwick 3527,271,154
U.S. Senate,,John F. Reed*,D,Warwick 3528,133,69
U.S. Senate,,John F. Reed*,D,Warwick 3529,280,162
U.S. Senate,,John F. Reed*,D,Warwick 3530,398,195
U.S. Senate,,John F. Reed*,D,Warwick 3531,486,241
U.S. Senate,,John F. Reed*,D,Warwick 3532,103,53
U.S. Senate,,John F. Reed*,D,Warwick 3533,140,78
U.S. Senate,,John F. Reed*,D,Warwick Limited,0,0
U.S. Senate,,John F. Reed*,D,Westerly 3601,67,33
U.S. Senate,,John F. Reed*,D,Westerly 3602,147,90
U.S. Senate,,John F. Reed*,D,Westerly 3603,184,124
U.S. Senate,,John F. Reed*,D,Westerly 3604,148,98
U.S. Senate,,John F. Reed*,D,Westerly 3605,172,114
U.S. Senate,,John F. Reed*,D,Westerly 3606,176,101
U.S. Senate,,John F. Reed*,D,Westerly 3607,128,70
U.S. Senate,,John F. Reed*,D,Westerly Limited,0,0
U.S. Senate,,John F. Reed*,D,West Greenwich 3701,61,32
U.S. Senate,,John F. Reed*,D,West Greenwich 3702,69,29
U.S. Senate,,John F. Reed*,D,West Greenwich 3703,40,20
U.S. Senate,,John F. Reed*,D,West Greenwich 3704,54,29
U.S. Senate,,John F. Reed*,D,West Greenwich Limited,0,0
U.S. Senate,,John F. Reed*,D,West Warwick 3801,193,99
U.S. Senate,,John F. Reed*,D,West Warwick 3802,96,44
U.S. Senate,,John F. Reed*,D,West Warwick 3803,83,29
U.S. Senate,,John F. Reed*,D,West Warwick 3804,397,207
U.S. Senate,,John F. Reed*,D,West Warwick 3805,108,53
U.S. Senate,,John F. Reed*,D,West Warwick 3806,86,37
U.S. Senate,,John F. Reed*,D,West Warwick 3807,323,178
U.S. Senate,,John F. Reed*,D,West Warwick 3808,319,140
U.S. Senate,,John F. Reed*,D,West Warwick 3809,275,172
U.S. Senate,,John F. Reed*,D,West Warwick 3810,163,74
U.S. Senate,,John F. Reed*,D,West Warwick Limited,0,0
U.S. Senate,,John F. Reed*,D,Woonsocket 3901,14,6
U.S. Senate,,John F. Reed*,D,Woonsocket 3905,87,29
U.S. Senate,,John F. Reed*,D,Woonsocket 3907,263,119
U.S. Senate,,John F. Reed*,D,Woonsocket 3910,289,126
U.S. Senate,,John F. Reed*,D,Federal Precinct #2,64,56
U.S. Senate,,John F. Reed*,D,Federal Precinct #2S,10,10
U.S. House,,David N. Cicilline*,D,Bristol 0201,96,55
U.S. House,,David N. Cicilline*,D,Bristol 0202,112,57
U.S. House,,David N. Cicilline*,D,Bristol 0203,423,254
U.S. House,,David N. Cicilline*,D,Bristol 0204,200,105
U.S. House,,David N. Cicilline*,D,Bristol 0205,157,57
U.S. House,,David N. Cicilline*,D,Bristol 0206,151,55
U.S. House,,David N. Cicilline*,D,Bristol 0207,179,110
U.S. House,,David N. Cicilline*,D,Bristol 0208,138,80
U.S. House,,David N. Cicilline*,D,Bristol 0209,26,9
U.S. House,,David N. Cicilline*,D,Central Falls 0401,212,49
U.S. House,,David N. Cicilline*,D,Central Falls 0402,92,17
U.S. House,,David N. Cicilline*,D,Central Falls 0403,274,131
U.S. House,,David N. Cicilline*,D,Central Falls 0404,227,81
U.S. House,,David N. Cicilline*,D,Central Falls 0405,95,42
U.S. House,,David N. Cicilline*,D,Central Falls 0406,134,57
U.S. House,,David N. Cicilline*,D,Central Falls 0407,56,9
U.S. House,,David N. Cicilline*,D,Central Falls 0408,202,54
U.S. House,,David N. Cicilline*,D,Cumberland 0801,143,65
U.S. House,,David N. Cicilline*,D,Cumberland 0802,261,107
U.S. House,,David N. Cicilline*,D,Cumberland 0803,169,95
U.S. House,,David N. Cicilline*,D,Cumberland 0804,30,15
U.S. House,,David N. Cicilline*,D,Cumberland 0809,59,37
U.S. House,,David N. Cicilline*,D,Cumberland 0812,183,106
U.S. House,,David N. Cicilline*,D,East Providence 1003,94,31
U.S. House,,David N. Cicilline*,D,East Providence 1005,652,355
U.S. House,,David N. Cicilline*,D,East Providence 1006,13,7
U.S. House,,David N. Cicilline*,D,East Providence 1007,23,6
U.S. House,,David N. Cicilline*,D,East Providence 1009,682,324
U.S. House,,David N. Cicilline*,D,East Providence 1010,399,203
U.S. House,,David N. Cicilline*,D,East Providence 1012,157,57
U.S. House,,David N. Cicilline*,D,East Providence 1013,518,254
U.S. House,,David N. Cicilline*,D,East Providence 1016,157,79
U.S. House,,David N. Cicilline*,D,Jamestown 1501,1135,745
U.S. House,,David N. Cicilline*,D,Little Compton 1801,508,222
U.S. House,,David N. Cicilline*,D,Middletown 1902,493,262
U.S. House,,David N. Cicilline*,D,Middletown 1904,532,352
U.S. House,,David N. Cicilline*,D,North Providence 2401,206,64
U.S. House,,David N. Cicilline*,D,North Providence 2403,355,167
U.S. House,,David N. Cicilline*,D,North Providence 2405,167,84
U.S. House,,David N. Cicilline*,D,North Providence 2407,407,126
U.S. House,,David N. Cicilline*,D,North Providence 2409,76,33
U.S. House,,David N. Cicilline*,D,North Providence 2410,239,114
U.S. House,,David N. Cicilline*,D,North Providence 2412,731,291
U.S. House,,David N. Cicilline*,D,North Providence 2414,120,41
U.S. House,,David N. Cicilline*,D,North Providence 2415,154,55
U.S. House,,David N. Cicilline*,D,North Providence 2416,363,156
U.S. House,,David N. Cicilline*,D,Pawtucket 2601,69,20
U.S. House,,David N. Cicilline*,D,Pawtucket 2602,152,36
U.S. House,,David N. Cicilline*,D,Pawtucket 2603,351,158
U.S. House,,David N. Cicilline*,D,Pawtucket 2604,193,92
U.S. House,,David N. Cicilline*,D,Pawtucket 2605,98,32
U.S. House,,David N. Cicilline*,D,Pawtucket 2606,111,37
U.S. House,,David N. Cicilline*,D,Pawtucket 2607,619,343
U.S. House,,David N. Cicilline*,D,Pawtucket 2608,519,323
U.S. House,,David N. Cicilline*,D,Pawtucket 2609,49,27
U.S. House,,David N. Cicilline*,D,Pawtucket 2610,29,10
U.S. House,,David N. Cicilline*,D,Pawtucket 2611,138,66
U.S. House,,David N. Cicilline*,D,Pawtucket 2612,168,74
U.S. House,,David N. Cicilline*,D,Pawtucket 2613,232,123
U.S. House,,David N. Cicilline*,D,Pawtucket 2614,190,74
U.S. House,,David N. Cicilline*,D,Pawtucket 2615,112,40
U.S. House,,David N. Cicilline*,D,Pawtucket 2616,46,21
U.S. House,,David N. Cicilline*,D,Pawtucket 2617,54,16
U.S. House,,David N. Cicilline*,D,Pawtucket 2618,494,223
U.S. House,,David N. Cicilline*,D,Pawtucket 2619,252,96
U.S. House,,David N. Cicilline*,D,Pawtucket 2620,423,195
U.S. House,,David N. Cicilline*,D,Pawtucket 2621,130,48
U.S. House,,David N. Cicilline*,D,Pawtucket 2622,72,31
U.S. House,,David N. Cicilline*,D,Pawtucket 2623,109,40
U.S. House,,David N. Cicilline*,D,Pawtucket 2624,129,58
U.S. House,,David N. Cicilline*,D,Pawtucket 2625,79,27
U.S. House,,David N. Cicilline*,D,Pawtucket 2626,37,13
U.S. House,,David N. Cicilline*,D,Pawtucket 2627,206,94
U.S. House,,David N. Cicilline*,D,Pawtucket 2628,296,171
U.S. House,,David N. Cicilline*,D,Pawtucket 2629,350,198
U.S. House,,David N. Cicilline*,D,Pawtucket 2630,28,9
U.S. House,,David N. Cicilline*,D,Pawtucket 2631,143,56
U.S. House,,David N. Cicilline*,D,Portsmouth 2704,485,274
U.S. House,,David N. Cicilline*,D,Portsmouth 2708,874,541
U.S. House,,David N. Cicilline*,D,Providence 2801,38,10
U.S. House,,David N. Cicilline*,D,Providence 2807,0,0
U.S. House,,David N. Cicilline*,D,Providence 2810,29,19
U.S. House,,David N. Cicilline*,D,Providence 2811,614,180
U.S. House,,David N. Cicilline*,D,Providence 2818,674,247
U.S. House,,David N. Cicilline*,D,Providence 2819,298,125
U.S. House,,David N. Cicilline*,D,Providence 2820,248,78
U.S. House,,David N. Cicilline*,D,Providence 2822,41,14
U.S. House,,David N. Cicilline*,D,Providence 2826,624,233
U.S. House,,David N. Cicilline*,D,Providence 2830,313,108
U.S. House,,David N. Cicilline*,D,Providence 2831,871,365
U.S. House,,David N. Cicilline*,D,Providence 2834,52,24
U.S. House,,David N. Cicilline*,D,Smithfield 3101,255,116
U.S. House,,David N. Cicilline*,D,Smithfield 3103,427,202
U.S. House,,David N. Cicilline*,D,Smithfield 3104,216,112
U.S. House,,David N. Cicilline*,D,Smithfield 3105,439,243
U.S. House,,David N. Cicilline*,D,Tiverton 3306,385,204
U.S. House,,David N. Cicilline*,D,Woonsocket 3901,15,6
U.S. House,,David N. Cicilline*,D,Woonsocket 3905,97,30
U.S. House,,David N. Cicilline*,D,Woonsocket 3907,262,121
U.S. House,,David N. Cicilline*,D,Woonsocket 3910,299,133
U.S. House,,James R. Langevin*,D,Burrillville 0301,152,87
U.S. House,,James R. Langevin*,D,Burrillville 0303,215,134
U.S. House,,James R. Langevin*,D,Burrillville 0306,59,32
U.S. House,,James R. Langevin*,D,Burrillville Limited,0,0
U.S. House,,James R. Langevin*,D,Charlestown 0501,126,57
U.S. House,,James R. Langevin*,D,Charlestown 0502,103,59
U.S. House,,James R. Langevin*,D,Charlestown 0503,116,54
U.S. House,,James R. Langevin*,D,Charlestown 0504,110,57
U.S. House,,James R. Langevin*,D,Charlestown Limited,0,0
U.S. House,,James R. Langevin*,D,Coventry 0601,56,21
U.S. House,,James R. Langevin*,D,Coventry 0602,16,3
U.S. House,,James R. Langevin*,D,Coventry 0603,104,58
U.S. House,,James R. Langevin*,D,Coventry 0604,106,44
U.S. House,,James R. Langevin*,D,Coventry 0605,60,24
U.S. House,,James R. Langevin*,D,Coventry 0606,220,105
U.S. House,,James R. Langevin*,D,Coventry 0609,72,30
U.S. House,,James R. Langevin*,D,Coventry 0610,46,22
U.S. House,,James R. Langevin*,D,Coventry 0611,79,39
U.S. House,,James R. Langevin*,D,Coventry 0613,115,64
U.S. House,,James R. Langevin*,D,Coventry 0615,207,120
U.S. House,,James R. Langevin*,D,Coventry 0617,59,29
U.S. House,,James R. Langevin*,D,Coventry 0618,30,19
U.S. House,,James R. Langevin*,D,Coventry Limited,0,0
U.S. House,,James R. Langevin*,D,Cranston 0701,180,82
U.S. House,,James R. Langevin*,D,Cranston 0702,144,41
U.S. House,,James R. Langevin*,D,Cranston 0703,134,77
U.S. House,,James R. Langevin*,D,Cranston 0704,46,23
U.S. House,,James R. Langevin*,D,Cranston 0705,48,16
U.S. House,,James R. Langevin*,D,Cranston 0706,177,83
U.S. House,,James R. Langevin*,D,Cranston 0707,166,91
U.S. House,,James R. Langevin*,D,Cranston 0708,239,128
U.S. House,,James R. Langevin*,D,Cranston 0709,218,112
U.S. House,,James R. Langevin*,D,Cranston 0710,286,130
U.S. House,,James R. Langevin*,D,Cranston 0711,201,90
U.S. House,,James R. Langevin*,D,Cranston 0712,247,147
U.S. House,,James R. Langevin*,D,Cranston 0713,218,123
U.S. House,,James R. Langevin*,D,Cranston 0714,50,17
U.S. House,,James R. Langevin*,D,Cranston 0715,168,70
U.S. House,,James R. Langevin*,D,Cranston 0716,152,80
U.S. House,,James R. Langevin*,D,Cranston 0717,83,44
U.S. House,,James R. Langevin*,D,Cranston 0718,105,46
U.S. House,,James R. Langevin*,D,Cranston 0719,170,94
U.S. House,,James R. Langevin*,D,Cranston 0720,75,32
U.S. House,,James R. Langevin*,D,Cranston 0721,253,110
U.S. House,,James R. Langevin*,D,Cranston 0722,115,41
U.S. House,,James R. Langevin*,D,Cranston 0723,460,192
U.S. House,,James R. Langevin*,D,Cranston 0724,426,217
U.S. House,,James R. Langevin*,D,Cranston 0725,371,176
U.S. House,,James R. Langevin*,D,Cranston 0726,162,68
U.S. House,,James R. Langevin*,D,Cranston 0727,221,108
